x,theta,time,ch1,ch2,coincidences
1000,0,10,9970,3856,18
2000,0,10,9987,3971,11
3000,0,10,10246,3962,12
4000,0,10,10520,4007,18
5000,0,10,10508,4109,12
6000,0,10,10597,4163,15
7000,0,10,10608,4180,22
8000,0,10,10477,4253,16
9000,0,10,10762,4279,18
10000,0,10,10982,4391,18
11000,0,10,10978,4449,19
12000,0,10,11122,4442,22
13000,0,10,11324,4670,24
14000,0,10,11260,4632,15
15000,0,10,11400,4749,24
16000,0,10,11451,4931,20
17000,0,10,11780,4757,18
18000,0,10,11849,4762,20
19000,0,10,11794,4853,20
20000,0,10,11775,4823,23
21000,0,10,11991,5096,21
22000,0,10,11765,4956,29
23000,0,10,12178,5245,30
24000,0,10,11999,5130,28
25000,0,10,12380,5339,31
26000,0,10,12281,5229,23
27000,0,10,12365,5314,31
28000,0,10,12351,5257,19
29000,0,10,12314,5455,17
30000,0,10,12649,5400,33
31000,0,10,12800,5322,30
32000,0,10,12808,5268,22
33000,0,10,12583,5353,24
34000,0,10,12741,5503,31
35000,0,10,12619,5465,27
36000,0,10,12789,5395,25
37000,0,10,13260,5489,34
38000,0,10,12792,5557,34
39000,0,10,12799,5558,32
40000,0,10,12922,5538,24
41000,0,10,12825,5521,43
42000,0,10,12919,5671,31
43000,0,10,13092,5665,40
44000,0,10,12986,5558,47
45000,0,10,13063,5623,65
46000,0,10,13102,5574,105
47000,0,10,13245,5489,128
48000,0,10,13022,5633,149
49000,0,10,12878,5656,142
50000,0,10,13036,5610,141
51000,0,10,12932,5622,157
52000,0,10,13042,5630,176
53000,0,10,13157,5536,160
54000,0,10,12815,5679,193
55000,0,10,13075,5704,222
56000,0,10,13009,5679,246
57000,0,10,12813,5703,215
58000,0,10,12964,5601,171
59000,0,10,12810,5517,138
60000,0,10,12714,5624,114
61000,0,10,12941,5481,83
62000,0,10,12769,5576,46
63000,0,10,12569,5463,34
64000,0,10,12714,5657,31
65000,0,10,12428,5612,27
66000,0,10,12331,5500,31
67000,0,10,12444,5484,26
68000,0,10,12183,5480,34
69000,0,10,12295,5589,36
70000,0,10,12285,5509,22
71000,0,10,12182,5405,24
72000,0,10,12126,5389,19
73000,0,10,12014,5352,32
74000,0,10,11799,5133,24
75000,0,10,11735,5342,18
76000,0,10,11634,5284,38
77000,0,10,11693,4983,19
78000,0,10,11465,5053,19
79000,0,10,11488,5054,29
80000,0,10,11610,5178,32
81000,0,10,11450,5000,23
82000,0,10,11194,4881,20
83000,0,10,11174,4810,29
84000,0,10,10765,4841,19
85000,0,10,11077,4769,15
86000,0,10,10670,4639,19
87000,0,10,10555,4642,18
88000,0,10,10668,4575,20
89000,0,10,10410,4463,23
90000,0,10,10350,4422,10
