x,theta,time,ch1,ch2,coincidences
1000,0,10,9717,3835,14
2000,0,10,9860,3970,19
3000,0,10,10193,3906,15
4000,0,10,10291,4025,12
5000,0,10,10403,4179,16
6000,0,10,10456,3994,16
7000,0,10,10632,4122,18
8000,0,10,10763,4175,12
9000,0,10,10851,4266,15
10000,0,10,11273,4251,17
11000,0,10,10942,4377,12
12000,0,10,11290,4405,31
13000,0,10,11079,4352,16
14000,0,10,11417,4665,10
15000,0,10,11433,4654,20
16000,0,10,11622,4571,19
17000,0,10,11646,4618,19
18000,0,10,11699,4615,12
19000,0,10,11767,4714,18
20000,0,10,12063,4865,24
21000,0,10,11790,4766,16
22000,0,10,12238,4900,24
23000,0,10,12130,4991,22
24000,0,10,12173,5011,26
25000,0,10,12478,5020,18
26000,0,10,12266,5039,27
27000,0,10,12309,5253,32
28000,0,10,12640,5168,20
29000,0,10,12624,5107,27
30000,0,10,12667,5296,30
31000,0,10,12837,5297,25
32000,0,10,12726,5336,33
33000,0,10,12975,5241,35
34000,0,10,12808,5386,27
35000,0,10,12927,5374,20
36000,0,10,12958,5433,35
37000,0,10,12950,5433,24
38000,0,10,13464,5439,29
39000,0,10,13064,5332,34
40000,0,10,13353,5441,34
41000,0,10,13162,5608,20
42000,0,10,13252,5533,34
43000,0,10,13074,5626,28
44000,0,10,13357,5464,36
45000,0,10,13277,5624,38
46000,0,10,13193,5796,40
47000,0,10,13433,5560,73
48000,0,10,13599,5595,84
49000,0,10,13161,5609,120
50000,0,10,13174,5532,119
51000,0,10,13364,5596,158
52000,0,10,13474,5662,177
53000,0,10,13412,5678,159
54000,0,10,13204,5645,189
55000,0,10,13305,5733,220
56000,0,10,13389,5603,250
57000,0,10,13288,5727,273
58000,0,10,13225,5624,271
59000,0,10,13484,5697,253
60000,0,10,13217,5632,211
61000,0,10,13206,5602,149
62000,0,10,13030,5598,105
63000,0,10,12835,5616,62
64000,0,10,13243,5568,46
65000,0,10,12964,5557,29
66000,0,10,13048,5514,33
67000,0,10,12498,5494,35
68000,0,10,12751,5422,29
69000,0,10,12590,5494,26
70000,0,10,12620,5444,32
71000,0,10,12494,5414,29
72000,0,10,12484,5378,26
73000,0,10,12437,5508,21
74000,0,10,12221,5298,19
75000,0,10,12067,5360,20
76000,0,10,12034,5317,23
77000,0,10,12252,5200,28
78000,0,10,11999,5189,32
79000,0,10,11917,5132,32
80000,0,10,11999,5055,27
81000,0,10,11867,5047,22
82000,0,10,11806,4909,20
83000,0,10,11595,4962,22
84000,0,10,11400,4992,22
85000,0,10,11594,4976,20
86000,0,10,11435,4972,15
87000,0,10,11109,4740,21
88000,0,10,11212,4661,16
89000,0,10,10830,4759,27
90000,0,10,11063,4617,17
