# Log start time:	 Thu, 17 Apr 2025 19:50:19
#          x     theta      time    ch1 counts    ch2 counts    coincidences

# Lateral Reset
# Rotational Reset
       72000,     3200,        5,        12173,         3085,             23
       74000,     3200,        5,        12088,         3066,             21
       76000,     3200,        5,        11760,         2970,             12
       78000,     3200,        5,        11656,         3020,             27
       80000,     3200,        5,        11643,         3060,             28
       82000,     3200,        5,        11410,         3053,             26
       84000,     3200,        5,        11225,         3030,             19
       86000,     3200,        5,        11066,         2973,             22
       88000,     3200,        5,        10467,         2963,             20
       90000,     3200,        5,        10471,         2920,             18
# Lateral Reset
        2000,     4800,        5,         7741,         2506,             14
        4000,     4800,        5,         7884,         2519,             10
        6000,     4800,        5,         8260,         2570,             10
        8000,     4800,        5,         8191,         2614,              9
       10000,     4800,        5,         8243,         2589,             11
       12000,     4800,        5,         8657,         2797,             13
       14000,     4800,        5,         8930,         2806,             13
       16000,     4800,        5,         9081,         2797,              6
       18000,     4800,        5,         9039,         2897,             17
       20000,     4800,        5,         9272,         2904,              7
       22000,     4800,        5,         9605,         3075,             22
       24000,     4800,        5,         9839,         3040,             28
       26000,     4800,        5,         9913,         3013,             13
       28000,     4800,        5,        10046,         3016,             17
       30000,     4800,        5,        10270,         3022,             14
       32000,     4800,        5,        10556,         3077,             13
       34000,     4800,        5,        10701,         3092,             15
       36000,     4800,        5,        10706,         3153,             17
       38000,     4800,        5,        11250,         3242,             26
       40000,     4800,        5,        11191,         3145,             20
       42000,     4800,        5,        11249,         3158,             21
       44000,     4800,        5,        11504,         3325,             22
       46000,     4800,        5,        11587,         3381,             34
       48000,     4800,        5,        11866,         3300,             43
       50000,     4800,        5,        11741,         3344,             99
       52000,     4800,        5,        11947,         3452,            124
       54000,     4800,        5,        11922,         3320,            110
       56000,     4800,        5,        11888,         3463,            115
       58000,     4800,        5,        12016,         3355,             72
       60000,     4800,        5,        11803,         3451,             36
       62000,     4800,        5,        12056,         3266,             65
       64000,     4800,        5,        12101,         3301,            123
       66000,     4800,        5,        11943,         3337,            130
       68000,     4800,        5,        11989,         3335,            146
       70000,     4800,        5,        11712,         3404,             88
       72000,     4800,        5,        11685,         3183,             46
       74000,     4800,        5,        11592,         3340,             24
       76000,     4800,        5,        11333,         3269,             21
       78000,     4800,        5,        11325,         3205,             13
       80000,     4800,        5,        11170,         3135,             21
       82000,     4800,        5,        10907,         3203,             26
       84000,     4800,        5,        11118,         3147,             24
       86000,     4800,        5,        10629,         3041,             19
       88000,     4800,        5,        10525,         2910,             24
       90000,     4800,        5,        10136,         3003,             21
# Lateral Reset
        2000,     6400,        5,         6932,         2526,             13
        4000,     6400,        5,         7161,         2498,             12
        6000,     6400,        5,         7248,         2586,             12
        8000,     6400,        5,         7504,         2746,             11
       10000,     6400,        5,         7643,         2724,             17
       12000,     6400,        5,         7761,         2822,             12
       14000,     6400,        5,         7856,         2877,             13
       16000,     6400,        5,         8035,         2836,             17
       18000,     6400,        5,         8414,         2899,             11
       20000,     6400,        5,         8415,         3003,             15
       22000,     6400,        5,         8516,         3167,             11
       24000,     6400,        5,         8771,         3170,             15
       26000,     6400,        5,         8881,         3148,             19
       28000,     6400,        5,         9238,         3232,             28
       30000,     6400,        5,         9324,         3215,             14
       32000,     6400,        5,         9554,         3339,             13
       34000,     6400,        5,         9680,         3434,             23
       36000,     6400,        5,        10042,         3310,             20
       38000,     6400,        5,         9854,         3447,             22
       40000,     6400,        5,        10081,         3463,             24
       42000,     6400,        5,        10171,         3565,             27
       44000,     6400,        5,        10196,         3412,             61
       46000,     6400,        5,        10378,         3491,             37
       48000,     6400,        5,        10786,         3572,             27
       50000,     6400,        5,        10593,         3565,             39
       52000,     6400,        5,        10571,         3571,             35
       54000,     6400,        5,        10773,         3610,             55
       56000,     6400,        5,        11129,         3549,             89
       58000,     6400,        5,        10946,         3526,            116
       60000,     6400,        5,        10807,         3554,            109
       62000,     6400,        5,        10927,         3672,             94
       64000,     6400,        5,        10952,         3628,             64
       66000,     6400,        5,        11198,         3594,            125
       68000,     6400,        5,        11084,         3671,            200
       70000,     6400,        5,        10812,         3559,            142
       72000,     6400,        5,        10739,         3582,            101
       74000,     6400,        5,        10710,         3441,             31
       76000,     6400,        5,        10488,         3591,             38
       78000,     6400,        5,        10522,         3478,             22
       80000,     6400,        5,        10586,         3308,             22
