x,theta,time,ch1,ch2,coincidences
1000,0,10,10400,4006,16
2000,0,10,10560,4110,24
3000,0,10,10901,4101,18
4000,0,10,10822,4135,12
5000,0,10,10853,3965,28
6000,0,10,11185,4224,20
7000,0,10,11164,4288,17
8000,0,10,11291,4359,22
9000,0,10,11495,4446,17
10000,0,10,11490,4475,20
11000,0,10,11505,4499,23
12000,0,10,11479,4618,13
13000,0,10,11972,4660,17
14000,0,10,11637,4594,17
15000,0,10,11950,4685,26
16000,0,10,12210,4829,29
17000,0,10,12428,4787,25
18000,0,10,12339,4731,19
19000,0,10,12300,4804,28
20000,0,10,12431,4947,24
21000,0,10,12617,4918,27
22000,0,10,12434,4480,13
23000,0,10,12147,5005,25
24000,0,10,12169,5074,28
25000,0,10,12402,5144,20
26000,0,10,12709,5033,25
27000,0,10,12577,5173,31
28000,0,10,12397,5128,19
29000,0,10,12789,5316,37
30000,0,10,12805,5323,28
31000,0,10,12755,5468,30
32000,0,10,12876,5478,20
33000,0,10,12928,5349,32
34000,0,10,13069,5439,38
35000,0,10,13090,5518,30
36000,0,10,13024,5463,24
37000,0,10,13281,5496,29
38000,0,10,12959,5491,31
39000,0,10,13198,5522,33
40000,0,10,13327,5559,39
41000,0,10,13174,5538,33
42000,0,10,13171,5740,37
43000,0,10,13374,5633,74
44000,0,10,13231,5707,112
45000,0,10,13561,5453,156
46000,0,10,13103,5706,209
47000,0,10,13420,5580,243
48000,0,10,13454,5797,270
49000,0,10,13650,5790,241
50000,0,10,13508,5678,226
51000,0,10,13353,5627,193
52000,0,10,13439,5532,188
53000,0,10,13478,5530,167
54000,0,10,13210,5541,150
55000,0,10,13370,5535,140
56000,0,10,13047,5694,143
57000,0,10,13165,5685,130
58000,0,10,12899,5619,93
59000,0,10,13193,5500,68
60000,0,10,13199,5446,44
61000,0,10,13200,5482,36
62000,0,10,13022,5458,23
63000,0,10,13026,5500,29
64000,0,10,12922,5364,27
65000,0,10,12938,5407,24
66000,0,10,12766,5488,31
67000,0,10,13062,5242,26
68000,0,10,12721,5424,21
69000,0,10,12790,5348,28
70000,0,10,12543,5338,26
71000,0,10,12527,5314,22
72000,0,10,12528,5220,25
73000,0,10,12394,5257,27
74000,0,10,12155,5103,31
75000,0,10,12364,5171,25
76000,0,10,11821,5103,24
77000,0,10,12555,5150,28
78000,0,10,12093,5059,25
79000,0,10,11809,5016,13
80000,0,10,11724,4918,23
81000,0,10,11847,4910,21
82000,0,10,11577,4843,17
83000,0,10,11610,4776,14
84000,0,10,11374,4799,29
85000,0,10,11581,4672,23
86000,0,10,11085,4718,28
87000,0,10,11030,4645,21
88000,0,10,11250,4565,23
89000,0,10,10700,4406,16
90000,0,10,10956,4406,18
