Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,900
Conversion Gain:,1024
Coarse Gain:,32
Fine Gain:,1.40
Upper Discriminator:,633
Lower Discriminator:,5
Calibration Coefficients:,-3.018691588785032,0.6074766355140186
Calibration Channels:,56,591
Calibration Energies:,31.0,356.0
Elapsed Real Time:,576.46
Elapsed Live Time:,514.09
Start Time:,October 10, 2024, 03:07:09
End Time:,October 10, 2024, 03:20:58
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,123,174,801581,519999,26,86
2,29,82,2166960,1887995,20,31
3,557,626,494731,171225,44,356

Channel Data:
Channel,Energy,Counts
0,-3.018691588785032,0
1,-2.4112149532710134,0
2,-1.8037383177569946,0
3,-1.196261682242976,0
4,-0.5887850467289573,0
5,0.018691588785061164,0
6,0.62616822429908,0
7,1.233644859813099,0
8,1.8411214953271173,0
9,2.4485981308411358,18
10,3.056074766355154,2756
11,3.6635514018691735,16182
12,4.271028037383192,3709
13,4.87850467289721,1388
14,5.48598130841123,2066
15,6.093457943925248,3835
16,6.7009345794392665,4373
17,7.308411214953285,4354
18,7.915887850467303,4177
19,8.523364485981322,4175
20,9.13084112149534,4016
21,9.73831775700936,3776
22,10.345794392523379,3680
23,10.953271028037397,3674
24,11.560747663551416,3812
25,12.168224299065434,3766
26,12.775700934579453,3976
27,13.383177570093473,4209
28,13.990654205607491,4476
29,14.59813084112151,4596
30,15.205607476635528,4860
31,15.813084112149546,4836
32,16.420560747663565,5226
33,17.028037383177583,5631
34,17.6355140186916,6172
35,18.24299065420562,6986
36,18.85046728971964,7986
37,19.457943925233657,9035
38,20.065420560747675,10785
39,20.672897196261694,13095
40,21.280373831775712,15666
41,21.887850467289734,18645
42,22.495327102803753,22234
43,23.10280373831777,27032
44,23.71028037383179,32286
45,24.317757009345808,37817
46,24.925233644859826,44440
47,25.532710280373845,50977
48,26.140186915887863,58560
49,26.74766355140188,65540
50,27.3551401869159,72724
51,27.96261682242992,79332
52,28.570093457943937,85565
53,29.17757009345796,90771
54,29.785046728971977,94302
55,30.392523364485996,96458
56,31.000000000000014,98248
57,31.607476635514033,97461
58,32.21495327102805,95942
59,32.82242990654207,92888
60,33.42990654205609,88518
61,34.037383177570106,83693
62,34.644859813084125,78290
63,35.25233644859814,71589
64,35.85981308411216,66163
65,36.46728971962618,60009
66,37.0747663551402,52918
67,37.68224299065422,46727
68,38.289719626168235,40766
69,38.897196261682254,35980
70,39.50467289719627,30699
71,40.11214953271029,26293
72,40.71962616822431,22515
73,41.32710280373833,19474
74,41.934579439252346,16216
75,42.542056074766364,14094
76,43.14953271028038,11911
77,43.7570093457944,10218
78,44.36448598130842,8655
79,44.97196261682244,7556
80,45.579439252336456,6755
81,46.18691588785048,6185
82,46.7943925233645,5640
83,47.40186915887852,5242
84,48.00934579439254,4889
85,48.616822429906556,4886
86,49.224299065420574,4652
87,49.83177570093459,4688
88,50.43925233644861,4758
89,51.04672897196263,4866
90,51.65420560747665,4913
91,52.261682242990666,5007
92,52.869158878504685,5241
93,53.4766355140187,5336
94,54.08411214953272,5425
95,54.69158878504674,5492
96,55.29906542056076,5537
97,55.90654205607478,5451
98,56.514018691588795,5650
99,57.121495327102814,5706
100,57.72897196261683,5636
101,58.33644859813085,5676
102,58.94392523364487,5779
103,59.55140186915889,5600
104,60.158878504672906,5386
105,60.766355140186924,5446
106,61.37383177570095,5379
107,61.98130841121497,5284
108,62.58878504672899,5286
109,63.196261682243005,5246
110,63.80373831775702,5297
111,64.41121495327104,5097
112,65.01869158878506,5169
113,65.62616822429908,5133
114,66.2336448598131,5236
115,66.84112149532712,5259
116,67.44859813084113,5283
117,68.05607476635515,5405
118,68.66355140186917,5610
119,69.27102803738319,5651
120,69.87850467289721,5983
121,70.48598130841123,6138
122,71.09345794392524,6438
123,71.70093457943926,6716
124,72.30841121495328,7094
125,72.9158878504673,7607
126,73.52336448598132,8023
127,74.13084112149534,8411
128,74.73831775700936,8998
129,75.34579439252337,9665
130,75.95327102803739,10238
131,76.56074766355141,11206
132,77.16822429906543,11999
133,77.77570093457945,12855
134,78.38317757009347,13653
135,78.99065420560748,14733
136,79.5981308411215,15720
137,80.20560747663552,16924
138,80.81308411214954,17727
139,81.42056074766356,18879
140,82.02803738317758,20134
141,82.6355140186916,21386
142,83.24299065420561,22156
143,83.85046728971963,22922
144,84.45794392523365,23830
145,85.06542056074767,24241
146,85.67289719626169,25012
147,86.2803738317757,25452
148,86.88785046728972,25071
149,87.49532710280374,25343
150,88.10280373831776,25397
151,88.71028037383178,24977
152,89.3177570093458,24424
153,89.92523364485982,24359
154,90.53271028037383,23382
155,91.14018691588785,22695
156,91.74766355140187,21110
157,92.35514018691589,20232
158,92.96261682242991,19335
159,93.57009345794393,18125
160,94.17757009345794,16797
161,94.78504672897198,15328
162,95.392523364486,14462
163,96.00000000000001,13293
164,96.60747663551403,11890
165,97.21495327102805,10851
166,97.82242990654207,9697
167,98.42990654205609,8757
168,99.0373831775701,7974
169,99.64485981308412,7032
170,100.25233644859814,6364
171,100.85981308411216,5545
172,101.46728971962618,4994
173,102.0747663551402,4648
174,102.68224299065422,3918
175,103.28971962616824,3682
176,103.89719626168225,3332
177,104.50467289719627,2900
178,105.11214953271029,2829
179,105.71962616822431,2698
180,106.32710280373833,2341
181,106.93457943925235,2336
182,107.54205607476636,2298
183,108.14953271028038,2097
184,108.7570093457944,1967
185,109.36448598130842,2076
186,109.97196261682244,1951
187,110.57943925233646,1906
188,111.18691588785047,1870
189,111.7943925233645,1879
190,112.40186915887851,1892
191,113.00934579439253,1920
192,113.61682242990655,1908
193,114.22429906542057,1841
194,114.83177570093459,1912
195,115.4392523364486,1829
196,116.04672897196262,1941
197,116.65420560747664,1881
198,117.26168224299066,1869
199,117.86915887850468,1926
200,118.4766355140187,1971
201,119.08411214953271,1911
202,119.69158878504673,1935
203,120.29906542056075,1916
204,120.90654205607477,1983
205,121.51401869158879,1901
206,122.1214953271028,2021
207,122.72897196261682,2000
208,123.33644859813084,2001
209,123.94392523364486,1980
210,124.55140186915888,1968
211,125.15887850467291,2031
212,125.76635514018693,2071
213,126.37383177570095,1909
214,126.98130841121497,1972
215,127.58878504672899,1986
216,128.196261682243,1996
217,128.80373831775702,2075
218,129.41121495327104,2056
219,130.01869158878506,2000
220,130.62616822429908,2015
221,131.2336448598131,2050
222,131.84112149532712,1984
223,132.44859813084113,1998
224,133.05607476635515,2022
225,133.66355140186917,2004
226,134.2710280373832,2042
227,134.8785046728972,1991
228,135.48598130841123,2019
229,136.09345794392524,2043
230,136.70093457943926,2039
231,137.30841121495328,1997
232,137.9158878504673,1873
233,138.52336448598132,1956
234,139.13084112149534,2019
235,139.73831775700936,2054
236,140.34579439252337,2059
237,140.9532710280374,2023
238,141.5607476635514,2078
239,142.16822429906543,2044
240,142.77570093457945,2066
241,143.38317757009347,2108
242,143.99065420560748,2177
243,144.5981308411215,2141
244,145.20560747663552,2104
245,145.81308411214954,2232
246,146.42056074766356,2249
247,147.02803738317758,2197
248,147.6355140186916,2204
249,148.2429906542056,2243
250,148.85046728971963,2290
251,149.45794392523365,2253
252,150.06542056074767,2301
253,150.6728971962617,2226
254,151.2803738317757,2256
255,151.88785046728972,2288
256,152.49532710280374,2330
257,153.10280373831776,2312
258,153.71028037383178,2347
259,154.3177570093458,2225
260,154.92523364485982,2235
261,155.53271028037383,2316
262,156.14018691588785,2267
263,156.74766355140187,2401
264,157.3551401869159,2327
265,157.9626168224299,2372
266,158.57009345794393,2292
267,159.17757009345794,2402
268,159.78504672897196,2324
269,160.39252336448598,2304
270,161.0,2297
271,161.60747663551402,2261
272,162.21495327102804,2282
273,162.82242990654206,2262
274,163.42990654205607,2382
275,164.0373831775701,2319
276,164.6448598130841,2345
277,165.25233644859813,2289
278,165.85981308411215,2296
279,166.46728971962617,2258
280,167.07476635514018,2267
281,167.6822429906542,2242
282,168.28971962616822,2233
283,168.89719626168224,2185
284,169.50467289719626,2252
285,170.11214953271028,2148
286,170.7196261682243,2136
287,171.3271028037383,2162
288,171.93457943925233,2207
289,172.54205607476635,2211
290,173.14953271028037,2170
291,173.7570093457944,2084
292,174.3644859813084,2151
293,174.97196261682242,2088
294,175.57943925233644,2049
295,176.18691588785046,2050
296,176.79439252336448,2034
297,177.4018691588785,2088
298,178.00934579439252,2015
299,178.61682242990653,2006
300,179.22429906542055,1989
301,179.83177570093457,2027
302,180.4392523364486,1982
303,181.0467289719626,1991
304,181.65420560747663,1912
305,182.26168224299064,2016
306,182.86915887850466,1999
307,183.47663551401868,1888
308,184.0841121495327,1963
309,184.69158878504672,1920
310,185.29906542056074,2017
311,185.90654205607476,1925
312,186.51401869158877,1906
313,187.1214953271028,1992
314,187.7289719626168,1911
315,188.33644859813083,1933
316,188.94392523364485,1959
317,189.55140186915887,1893
318,190.15887850467288,2008
319,190.7663551401869,1876
320,191.37383177570092,1884
321,191.98130841121497,1952
322,192.588785046729,1976
323,193.196261682243,1887
324,193.80373831775702,1902
325,194.41121495327104,1920
326,195.01869158878506,1811
327,195.62616822429908,1847
328,196.2336448598131,1810
329,196.84112149532712,1855
330,197.44859813084113,1832
331,198.05607476635515,1909
332,198.66355140186917,1834
333,199.2710280373832,1888
334,199.8785046728972,1837
335,200.48598130841123,1808
336,201.09345794392524,1861
337,201.70093457943926,1856
338,202.30841121495328,1860
339,202.9158878504673,1820
340,203.52336448598132,1883
341,204.13084112149534,1806
342,204.73831775700936,1775
343,205.34579439252337,1717
344,205.9532710280374,1782
345,206.5607476635514,1814
346,207.16822429906543,1769
347,207.77570093457945,1737
348,208.38317757009347,1757
349,208.99065420560748,1789
350,209.5981308411215,1792
351,210.20560747663552,1648
352,210.81308411214954,1688
353,211.42056074766356,1672
354,212.02803738317758,1633
355,212.6355140186916,1726
356,213.2429906542056,1704
357,213.85046728971963,1654
358,214.45794392523365,1663
359,215.06542056074767,1641
360,215.6728971962617,1655
361,216.2803738317757,1610
362,216.88785046728972,1632
363,217.49532710280374,1633
364,218.10280373831776,1644
365,218.71028037383178,1535
366,219.3177570093458,1556
367,219.92523364485982,1559
368,220.53271028037383,1575
369,221.14018691588785,1494
370,221.74766355140187,1499
371,222.3551401869159,1500
372,222.9626168224299,1527
373,223.57009345794393,1497
374,224.17757009345794,1428
375,224.78504672897196,1468
376,225.39252336448598,1466
377,226.0,1457
378,226.60747663551402,1450
379,227.21495327102804,1401
380,227.82242990654206,1399
381,228.42990654205607,1434
382,229.0373831775701,1330
383,229.6448598130841,1280
384,230.25233644859813,1357
385,230.85981308411215,1340
386,231.46728971962617,1233
387,232.07476635514018,1274
388,232.6822429906542,1365
389,233.28971962616822,1236
390,233.89719626168224,1309
391,234.50467289719626,1220
392,235.11214953271028,1232
393,235.7196261682243,1264
394,236.3271028037383,1286
395,236.93457943925233,1193
396,237.54205607476635,1252
397,238.14953271028037,1176
398,238.7570093457944,1240
399,239.3644859813084,1206
400,239.97196261682242,1202
401,240.57943925233644,1177
402,241.18691588785046,1157
403,241.79439252336448,1158
404,242.4018691588785,1130
405,243.00934579439252,1110
406,243.61682242990653,1122
407,244.22429906542055,1138
408,244.83177570093457,1172
409,245.4392523364486,1059
410,246.0467289719626,1142
411,246.65420560747663,1111
412,247.26168224299064,1091
413,247.86915887850466,1125
414,248.47663551401868,1058
415,249.0841121495327,1110
416,249.69158878504672,1136
417,250.29906542056074,1152
418,250.90654205607476,1109
419,251.51401869158877,1056
420,252.1214953271028,1150
421,252.7289719626168,1170
422,253.33644859813086,1111
423,253.94392523364485,1172
424,254.5514018691589,1119
425,255.15887850467288,1209
426,255.76635514018693,1239
427,256.3738317757009,1210
428,256.98130841121497,1207
429,257.58878504672896,1309
430,258.196261682243,1292
431,258.803738317757,1197
432,259.41121495327104,1305
433,260.01869158878503,1350
434,260.6261682242991,1393
435,261.23364485981307,1432
436,261.8411214953271,1453
437,262.4485981308411,1493
438,263.05607476635515,1477
439,263.66355140186914,1552
440,264.2710280373832,1520
441,264.8785046728972,1608
442,265.4859813084112,1703
443,266.0934579439252,1757
444,266.70093457943926,1711
445,267.30841121495325,1889
446,267.9158878504673,1815
447,268.5233644859813,1829
448,269.13084112149534,1987
449,269.7383177570093,1962
450,270.3457943925234,2006
451,270.95327102803736,2108
452,271.5607476635514,2039
453,272.1682242990654,2163
454,272.77570093457945,2226
455,273.38317757009344,2305
456,273.9906542056075,2299
457,274.5981308411215,2331
458,275.2056074766355,2439
459,275.8130841121495,2447
460,276.42056074766356,2463
461,277.02803738317755,2505
462,277.6355140186916,2637
463,278.2429906542056,2704
464,278.85046728971963,2725
465,279.4579439252336,2811
466,280.06542056074767,2915
467,280.67289719626166,2882
468,281.2803738317757,2926
469,281.8878504672897,2946
470,282.49532710280374,2961
471,283.10280373831773,3085
472,283.7102803738318,3126
473,284.31775700934577,3199
474,284.9252336448598,3206
475,285.5327102803738,3261
476,286.14018691588785,3348
477,286.74766355140184,3236
478,287.3551401869159,3301
479,287.9626168224299,3428
480,288.5700934579439,3402
481,289.1775700934579,3557
482,289.78504672897196,3580
483,290.39252336448595,3497
484,291.0,3560
485,291.607476635514,3763
486,292.21495327102804,3800
487,292.822429906542,3733
488,293.4299065420561,3777
489,294.03738317757006,3877
490,294.6448598130841,3916
491,295.2523364485981,3896
492,295.85981308411215,3919
493,296.46728971962614,3983
494,297.0747663551402,4153
495,297.6822429906542,3938
496,298.2897196261682,3985
497,298.8971962616822,4054
498,299.50467289719626,4084
499,300.11214953271025,4192
500,300.7196261682243,4146
501,301.3271028037383,4218
502,301.93457943925233,4105
503,302.5420560747663,4054
504,303.14953271028037,4260
505,303.75700934579436,4172
506,304.3644859813084,4162
507,304.9719626168224,4260
508,305.57943925233644,4081
509,306.18691588785043,4136
510,306.7943925233645,4086
511,307.40186915887847,4231
512,308.0093457943925,3982
513,308.61682242990656,4145
514,309.22429906542055,4153
515,309.8317757009346,3930
516,310.4392523364486,3985
517,311.04672897196264,3958
518,311.6542056074766,3921
519,312.2616822429907,3670
520,312.86915887850466,3657
521,313.4766355140187,3745
522,314.0841121495327,3578
523,314.69158878504675,3575
524,315.29906542056074,3524
525,315.9065420560748,3537
526,316.5140186915888,3459
527,317.1214953271028,3480
528,317.7289719626168,3425
529,318.33644859813086,3322
530,318.94392523364485,3324
531,319.5514018691589,3369
532,320.1588785046729,3376
533,320.76635514018693,3286
534,321.3738317757009,3288
535,321.98130841121497,3358
536,322.58878504672896,3228
537,323.196261682243,3238
538,323.803738317757,3274
539,324.41121495327104,3284
540,325.01869158878503,3264
541,325.6261682242991,3292
542,326.23364485981307,3380
543,326.8411214953271,3228
544,327.4485981308411,3341
545,328.05607476635515,3454
546,328.66355140186914,3505
547,329.2710280373832,3594
548,329.8785046728972,3602
549,330.4859813084112,3715
550,331.0934579439252,3841
551,331.70093457943926,3877
552,332.30841121495325,4018
553,332.9158878504673,4205
554,333.5233644859813,4216
555,334.13084112149534,4454
556,334.7383177570093,4540
557,335.3457943925234,4592
558,335.95327102803736,4595
559,336.5607476635514,4832
560,337.1682242990654,5115
561,337.77570093457945,5250
562,338.38317757009344,5356
563,338.9906542056075,5392
564,339.5981308411215,5744
565,340.2056074766355,5721
566,340.8130841121495,5882
567,341.42056074766356,6074
568,342.02803738317755,6204
569,342.6355140186916,6410
570,343.2429906542056,6620
571,343.85046728971963,6758
572,344.4579439252336,6942
573,345.06542056074767,7058
574,345.67289719626166,7272
575,346.2803738317757,7427
576,346.8878504672897,7706
577,347.49532710280374,7732
578,348.10280373831773,7589
579,348.7102803738318,8053
580,349.31775700934577,8073
581,349.9252336448598,8192
582,350.5327102803738,8319
583,351.14018691588785,8311
584,351.74766355140184,8346
585,352.3551401869159,8511
586,352.9626168224299,8444
587,353.5700934579439,8647
588,354.1775700934579,8674
589,354.78504672897196,8599
590,355.39252336448595,8538
591,356.0,8481
592,356.607476635514,8467
593,357.21495327102804,8713
594,357.822429906542,8685
595,358.4299065420561,8667
596,359.03738317757006,8628
597,359.6448598130841,8556
598,360.2523364485981,8533
599,360.85981308411215,8474
600,361.46728971962614,8497
601,362.0747663551402,8428
602,362.6822429906542,8091
603,363.2897196261682,8184
604,363.8971962616822,7918
605,364.50467289719626,7790
606,365.11214953271025,7759
607,365.7196261682243,7648
608,366.3271028037383,7364
609,366.93457943925233,7213
610,367.5420560747663,7263
611,368.14953271028037,7103
612,368.75700934579436,6941
613,369.3644859813084,6823
614,369.9719626168224,6585
615,370.57943925233644,6435
616,371.18691588785043,6386
617,371.7943925233645,6195
618,372.40186915887847,6047
619,373.0093457943925,5783
620,373.6168224299065,5588
621,374.22429906542055,5608
622,374.83177570093454,5243
623,375.4392523364486,5137
624,376.0467289719626,5030
625,376.6542056074766,4846
626,377.2616822429906,4644
627,377.86915887850466,4519
628,378.47663551401865,4459
629,379.0841121495327,4271
630,379.6915887850467,3973
631,380.29906542056074,3869
632,380.9065420560747,3738
633,381.5140186915888,3592
634,382.12149532710276,3489
635,382.7289719626168,3320
636,383.3364485981308,3230
637,383.94392523364485,3128
638,384.55140186915884,3022
639,385.1588785046729,2872
640,385.7663551401869,2792
641,386.3738317757009,2706
642,386.98130841121497,2674
643,387.58878504672896,2436
644,388.196261682243,2276
645,388.803738317757,2260
646,389.41121495327104,2145
647,390.01869158878503,1996
648,390.6261682242991,1996
649,391.23364485981307,1873
650,391.8411214953271,1861
651,392.4485981308411,1782
652,393.05607476635515,1714
653,393.66355140186914,1662
654,394.2710280373832,1536
655,394.8785046728972,1526
656,395.4859813084112,1301
657,396.0934579439252,1349
658,396.70093457943926,1334
659,397.30841121495325,1265
660,397.9158878504673,1185
661,398.5233644859813,1093
662,399.13084112149534,1093
663,399.7383177570093,1049
664,400.3457943925234,1068
665,400.95327102803736,968
666,401.5607476635514,872
667,402.1682242990654,867
668,402.77570093457945,804
669,403.38317757009344,835
670,403.9906542056075,796
671,404.5981308411215,805
672,405.2056074766355,699
673,405.8130841121495,695
674,406.42056074766356,644
675,407.02803738317755,597
676,407.6355140186916,581
677,408.2429906542056,568
678,408.85046728971963,532
679,409.4579439252336,548
680,410.06542056074767,502
681,410.67289719626166,470
682,411.2803738317757,444
683,411.8878504672897,396
684,412.49532710280374,403
685,413.10280373831773,384
686,413.7102803738318,398
687,414.31775700934577,302
688,414.9252336448598,312
689,415.5327102803738,331
690,416.14018691588785,321
691,416.74766355140184,286
692,417.3551401869159,267
693,417.9626168224299,241
694,418.5700934579439,217
695,419.1775700934579,260
696,419.78504672897196,230
697,420.39252336448595,213
698,421.0,199
699,421.607476635514,188
700,422.21495327102804,203
701,422.822429906542,195
702,423.4299065420561,186
703,424.03738317757006,167
704,424.6448598130841,138
705,425.2523364485981,166
706,425.85981308411215,142
707,426.46728971962614,150
708,427.0747663551402,154
709,427.6822429906542,124
710,428.2897196261682,147
711,428.8971962616822,138
712,429.50467289719626,118
713,430.11214953271025,138
714,430.7196261682243,129
715,431.3271028037383,121
716,431.93457943925233,127
717,432.5420560747663,119
718,433.14953271028037,111
719,433.75700934579436,119
720,434.3644859813084,108
721,434.9719626168224,99
722,435.57943925233644,101
723,436.18691588785043,115
724,436.7943925233645,98
725,437.40186915887847,106
726,438.0093457943925,87
727,438.6168224299065,101
728,439.22429906542055,79
729,439.83177570093454,103
730,440.4392523364486,84
731,441.0467289719626,97
732,441.6542056074766,92
733,442.2616822429906,98
734,442.86915887850466,104
735,443.47663551401865,90
736,444.0841121495327,95
737,444.6915887850467,89
738,445.29906542056074,94
739,445.9065420560747,88
740,446.5140186915888,72
741,447.12149532710276,87
742,447.7289719626168,80
743,448.3364485981308,79
744,448.94392523364485,91
745,449.55140186915884,82
746,450.1588785046729,86
747,450.7663551401869,92
748,451.3738317757009,78
749,451.9813084112149,79
750,452.58878504672896,78
751,453.19626168224295,80
752,453.803738317757,79
753,454.411214953271,78
754,455.01869158878503,88
755,455.626168224299,74
756,456.23364485981307,71
757,456.84112149532706,70
758,457.4485981308411,65
759,458.0560747663551,68
760,458.66355140186914,70
761,459.27102803738313,72
762,459.8785046728972,57
763,460.48598130841117,61
764,461.0934579439252,68
765,461.7009345794392,55
766,462.30841121495325,63
767,462.91588785046724,62
768,463.5233644859813,55
769,464.13084112149534,62
770,464.7383177570093,50
771,465.3457943925234,65
772,465.95327102803736,62
773,466.5607476635514,52
774,467.1682242990654,41
775,467.77570093457945,50
776,468.38317757009344,54
777,468.9906542056075,47
778,469.5981308411215,41
779,470.2056074766355,40
780,470.8130841121495,41
781,471.42056074766356,44
782,472.02803738317755,43
783,472.6355140186916,43
784,473.2429906542056,33
785,473.85046728971963,39
786,474.4579439252336,41
787,475.06542056074767,39
788,475.67289719626166,41
789,476.2803738317757,33
790,476.8878504672897,30
791,477.49532710280374,31
792,478.10280373831773,37
793,478.7102803738318,26
794,479.31775700934577,33
795,479.9252336448598,20
796,480.5327102803738,45
797,481.14018691588785,30
798,481.74766355140184,39
799,482.3551401869159,39
800,482.9626168224299,32
801,483.5700934579439,31
802,484.1775700934579,27
803,484.78504672897196,22
804,485.39252336448595,26
805,486.0,26
806,486.607476635514,32
807,487.21495327102804,34
808,487.822429906542,34
809,488.4299065420561,24
810,489.03738317757006,19
811,489.6448598130841,26
812,490.2523364485981,25
813,490.85981308411215,29
814,491.46728971962614,17
815,492.0747663551402,24
816,492.6822429906542,22
817,493.2897196261682,21
818,493.8971962616822,25
819,494.50467289719626,23
820,495.11214953271025,19
821,495.7196261682243,32
822,496.3271028037383,28
823,496.93457943925233,20
824,497.5420560747663,22
825,498.14953271028037,17
826,498.75700934579436,26
827,499.3644859813084,22
828,499.9719626168224,21
829,500.57943925233644,22
830,501.18691588785043,17
831,501.7943925233645,27
832,502.40186915887847,18
833,503.0093457943925,17
834,503.6168224299065,25
835,504.22429906542055,19
836,504.83177570093454,27
837,505.4392523364486,21
838,506.0467289719626,23
839,506.6542056074766,15
840,507.2616822429906,25
841,507.86915887850466,22
842,508.47663551401865,19
843,509.08411214953264,21
844,509.69158878504675,18
845,510.29906542056074,22
846,510.9065420560747,20
847,511.5140186915887,16
848,512.1214953271028,24
849,512.7289719626168,15
850,513.3364485981308,11
851,513.9439252336448,23
852,514.5514018691589,20
853,515.1588785046729,13
854,515.7663551401869,20
855,516.3738317757009,14
856,516.981308411215,14
857,517.588785046729,19
858,518.196261682243,18
859,518.8037383177569,22
860,519.411214953271,14
861,520.018691588785,22
862,520.626168224299,20
863,521.233644859813,20
864,521.8411214953271,18
865,522.4485981308411,10
866,523.0560747663551,22
867,523.6635514018691,12
868,524.2710280373832,25
869,524.8785046728972,20
870,525.4859813084112,16
871,526.0934579439252,16
872,526.7009345794393,14
873,527.3084112149533,19
874,527.9158878504672,17
875,528.5233644859812,14
876,529.1308411214953,17
877,529.7383177570093,14
878,530.3457943925233,15
879,530.9532710280373,20
880,531.5607476635514,14
881,532.1682242990654,15
882,532.7757009345794,5
883,533.3831775700934,17
884,533.9906542056075,19
885,534.5981308411215,18
886,535.2056074766355,20
887,535.8130841121495,13
888,536.4205607476636,11
889,537.0280373831775,15
890,537.6355140186915,18
891,538.2429906542055,9
892,538.8504672897196,13
893,539.4579439252336,15
894,540.0654205607476,17
895,540.6728971962616,7
896,541.2803738317757,18
897,541.8878504672897,13
898,542.4953271028037,13
899,543.1028037383178,15
900,543.7102803738318,17
901,544.3177570093458,7
902,544.9252336448598,11
903,545.5327102803739,8
904,546.1401869158879,19
905,546.7476635514018,13
906,547.3551401869158,16
907,547.9626168224299,9
908,548.5700934579439,12
909,549.1775700934579,10
910,549.7850467289719,17
911,550.392523364486,16
912,551.0,14
913,551.607476635514,18
914,552.214953271028,13
915,552.8224299065421,9
916,553.4299065420561,10
917,554.0373831775701,16
918,554.644859813084,15
919,555.2523364485982,16
920,555.8598130841121,11
921,556.4672897196261,11
922,557.0747663551401,11
923,557.6822429906542,20
924,558.2897196261682,12
925,558.8971962616822,11
926,559.5046728971962,20
927,560.1121495327103,8
928,560.7196261682243,15
929,561.3271028037383,9
930,561.9345794392523,12
931,562.5420560747664,17
932,563.1495327102804,12
933,563.7570093457944,14
934,564.3644859813083,16
935,564.9719626168225,25
936,565.5794392523364,15
937,566.1869158878504,15
938,566.7943925233644,13
939,567.4018691588785,13
940,568.0093457943925,12
941,568.6168224299065,13
942,569.2242990654205,25
943,569.8317757009346,16
944,570.4392523364486,14
945,571.0467289719626,5
946,571.6542056074766,10
947,572.2616822429907,9
948,572.8691588785047,21
949,573.4766355140187,15
950,574.0841121495326,16
951,574.6915887850467,12
952,575.2990654205607,13
953,575.9065420560747,10
954,576.5140186915887,11
955,577.1214953271028,17
956,577.7289719626168,17
957,578.3364485981308,12
958,578.9439252336448,14
959,579.5514018691589,14
960,580.1588785046729,21
961,580.7663551401869,13
962,581.3738317757009,16
963,581.981308411215,23
964,582.588785046729,12
965,583.196261682243,13
966,583.8037383177569,14
967,584.411214953271,18
968,585.018691588785,15
969,585.626168224299,24
970,586.233644859813,12
971,586.8411214953271,9
972,587.4485981308411,10
973,588.0560747663551,10
974,588.6635514018691,15
975,589.2710280373832,12
976,589.8785046728972,11
977,590.4859813084112,12
978,591.0934579439252,12
979,591.7009345794393,13
