Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,900
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.33
Upper Discriminator:,1269
Lower Discriminator:,16
Calibration Coefficients:,-0.6899224806201687,1.2118863049095607
Calibration Channels:,546,159
Calibration Energies:,661.0,192.0
Elapsed Real Time:,502.13
Elapsed Live Time:,499.49
Start Time:,October 10, 2024, 02:41:17
End Time:,October 10, 2024, 02:52:20
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,-0.6899224806201687,0
1,0.521963824289392,0
2,1.7338501291989528,0
3,2.9457364341085137,0
4,4.157622739018074,0
5,5.369509043927635,0
6,6.581395348837196,0
7,7.793281653746757,0
8,9.005167958656317,0
9,10.217054263565878,0
10,11.428940568475438,0
11,12.640826873384999,0
12,13.852713178294561,0
13,15.064599483204121,0
14,16.276485788113682,27
15,17.48837209302324,215
16,18.700258397932803,353
17,19.912144702842365,445
18,21.124031007751924,528
19,22.335917312661486,702
20,23.547803617571045,855
21,24.759689922480607,1163
22,25.971576227390166,1551
23,27.18346253229973,1828
24,28.39534883720929,2201
25,29.60723514211885,2471
26,30.81912144702841,2698
27,32.03100775193797,2738
28,33.24289405684753,2522
29,34.454780361757095,2141
30,35.66666666666665,1712
31,36.87855297157621,1429
32,38.090439276485775,1184
33,39.30232558139534,925
34,40.5142118863049,789
35,41.726098191214454,639
36,42.93798449612402,592
37,44.14987080103358,494
38,45.36175710594314,484
39,46.573643410852696,460
40,47.78552971576226,416
41,48.99741602067182,369
42,50.20930232558138,414
43,51.421188630490946,378
44,52.6330749354005,402
45,53.84496124031006,405
46,55.056847545219625,413
47,56.26873385012919,382
48,57.48062015503875,407
49,58.692506459948305,415
50,59.90439276485787,405
51,61.11627906976743,418
52,62.32816537467699,421
53,63.540051679586554,416
54,64.75193798449611,430
55,65.96382428940566,410
56,67.17571059431523,444
57,68.38759689922479,442
58,69.59948320413436,427
59,70.81136950904391,421
60,72.02325581395347,450
61,73.23514211886304,467
62,74.4470284237726,460
63,75.65891472868216,466
64,76.87080103359172,486
65,78.08268733850127,397
66,79.29457364341084,498
67,80.5064599483204,504
68,81.71834625322997,486
69,82.93023255813952,497
70,84.14211886304908,487
71,85.35400516795865,503
72,86.5658914728682,483
73,87.77777777777777,489
74,88.98966408268733,480
75,90.20155038759688,489
76,91.41343669250645,445
77,92.625322997416,469
78,93.83720930232556,487
79,95.04909560723513,503
80,96.26098191214469,508
81,97.47286821705426,460
82,98.68475452196381,498
83,99.89664082687337,482
84,101.10852713178294,495
85,102.32041343669249,465
86,103.53229974160206,471
87,104.74418604651162,507
88,105.95607235142117,481
89,107.16795865633074,456
90,108.3798449612403,494
91,109.59173126614986,465
92,110.80361757105942,516
93,112.01550387596897,479
94,113.22739018087854,498
95,114.4392764857881,486
96,115.65116279069767,470
97,116.86304909560722,450
98,118.07493540051678,438
99,119.28682170542635,486
100,120.4987080103359,454
101,121.71059431524546,420
102,122.92248062015503,465
103,124.13436692506458,459
104,125.34625322997415,482
105,126.55813953488371,459
106,127.77002583979328,446
107,128.98191214470282,441
108,130.1937984496124,477
109,131.40568475452196,491
110,132.6175710594315,478
111,133.82945736434107,456
112,135.04134366925064,473
113,136.2532299741602,468
114,137.46511627906975,460
115,138.67700258397932,440
116,139.88888888888889,435
117,141.10077519379843,448
118,142.312661498708,455
119,143.52454780361757,452
120,144.7364341085271,471
121,145.94832041343668,452
122,147.16020671834625,436
123,148.37209302325581,490
124,149.58397932816536,425
125,150.79586563307492,465
126,152.0077519379845,438
127,153.21963824289404,470
128,154.4315245478036,397
129,155.64341085271317,455
130,156.85529715762272,432
131,158.06718346253228,448
132,159.27906976744185,418
133,160.4909560723514,443
134,161.70284237726096,479
135,162.91472868217053,445
136,164.1266149870801,444
137,165.33850129198964,456
138,166.5503875968992,460
139,167.76227390180878,476
140,168.97416020671832,457
141,170.1860465116279,448
142,171.39793281653746,477
143,172.609819121447,434
144,173.82170542635657,452
145,175.03359173126614,469
146,176.2454780361757,483
147,177.45736434108525,481
148,178.66925064599482,469
149,179.8811369509044,488
150,181.09302325581393,489
151,182.3049095607235,485
152,183.51679586563307,512
153,184.7286821705426,518
154,185.94056847545218,464
155,187.15245478036175,526
156,188.3643410852713,563
157,189.57622739018086,525
158,190.78811369509043,500
159,192.0,502
160,193.21188630490954,551
161,194.4237726098191,475
162,195.63565891472868,527
163,196.84754521963822,531
164,198.0594315245478,532
165,199.27131782945736,502
166,200.4832041343669,519
167,201.69509043927647,477
168,202.90697674418604,490
169,204.1188630490956,489
170,205.33074935400515,470
171,206.54263565891472,503
172,207.7545219638243,459
173,208.96640826873383,525
174,210.1782945736434,460
175,211.39018087855297,468
176,212.6020671834625,443
177,213.81395348837208,424
178,215.02583979328165,435
179,216.2377260981912,408
180,217.44961240310076,419
181,218.66149870801033,385
182,219.8733850129199,419
183,221.08527131782944,396
184,222.297157622739,450
185,223.50904392764858,397
186,224.72093023255812,412
187,225.9328165374677,416
188,227.14470284237726,357
189,228.3565891472868,396
190,229.56847545219637,408
191,230.78036175710594,398
192,231.9922480620155,364
193,233.20413436692505,444
194,234.41602067183462,415
195,235.62790697674419,402
196,236.83979328165373,324
197,238.0516795865633,363
198,239.26356589147287,373
199,240.4754521963824,352
200,241.68733850129198,396
201,242.89922480620154,338
202,244.1111111111111,376
203,245.32299741602066,405
204,246.53488372093022,412
205,247.7467700258398,353
206,248.95865633074933,383
207,250.1705426356589,355
208,251.38242894056847,365
209,252.59431524547801,372
210,253.80620155038758,402
211,255.01808785529715,348
212,256.2299741602067,413
213,257.4418604651163,357
214,258.6537467700258,394
215,259.8656330749354,367
216,261.07751937984494,395
217,262.2894056847545,361
218,263.5012919896641,368
219,264.71317829457365,367
