Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,900
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.09
Upper Discriminator:,1610
Lower Discriminator:,-8
Calibration Coefficients:,-30.68852459016398,1.5655737704918034
Calibration Channels:,346,834
Calibration Energies:,511.0,1275.0
Elapsed Real Time:,78.8
Elapsed Live Time:,77.17
Start Time:,October 10, 2024, 03:01:26
End Time:,October 10, 2024, 03:03:07
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,392,394,157,9,0,584

Channel Data:
Channel,Energy,Counts
0,-30.68852459016398,0
1,-29.122950819672177,0
2,-27.557377049180374,0
3,-25.991803278688568,0
4,-24.426229508196766,0
5,-22.860655737704963,0
6,-21.295081967213157,0
7,-19.729508196721355,0
8,-18.163934426229552,0
9,-16.59836065573775,0
10,-15.032786885245946,0
11,-13.467213114754141,0
12,-11.901639344262339,0
13,-10.336065573770536,0
14,-8.77049180327873,31
15,-7.204918032786928,176
16,-5.6393442622951255,204
17,-4.073770491803323,206
18,-2.5081967213115206,212
19,-0.9426229508197146,228
20,0.6229508196720879,281
21,2.188524590163894,249
22,3.7540983606556964,262
23,5.319672131147499,255
24,6.885245901639301,279
25,8.450819672131104,279
26,10.016393442622906,302
27,11.581967213114709,287
28,13.147540983606518,324
29,14.71311475409832,312
30,16.278688524590123,306
31,17.844262295081926,308
32,19.409836065573728,306
33,20.97540983606553,298
34,22.540983606557333,292
35,24.106557377049135,318
36,25.672131147540938,287
37,27.237704918032748,292
38,28.80327868852455,300
39,30.368852459016352,302
40,31.934426229508155,275
41,33.49999999999996,318
42,35.06557377049177,278
43,36.63114754098356,312
44,38.19672131147537,297
45,39.76229508196717,276
46,41.32786885245898,308
47,42.89344262295077,272
48,44.45901639344258,295
49,46.02459016393439,317
50,47.59016393442619,299
51,49.155737704917996,283
52,50.72131147540979,295
53,52.2868852459016,311
54,53.8524590163934,279
55,55.418032786885206,266
56,56.983606557377016,310
57,58.54918032786881,300
58,60.11475409836062,336
59,61.680327868852416,283
60,63.245901639344225,284
61,64.81147540983602,294
62,66.37704918032783,286
63,67.94262295081963,310
64,69.50819672131144,318
65,71.07377049180324,304
66,72.63934426229504,301
67,74.20491803278685,305
68,75.77049180327865,292
69,77.33606557377045,323
70,78.90163934426225,290
71,80.46721311475406,310
72,82.03278688524586,325
73,83.59836065573766,339
74,85.16393442622947,300
75,86.72950819672127,325
76,88.29508196721308,329
77,89.86065573770487,320
78,91.42622950819668,327
79,92.99180327868848,335
80,94.55737704918029,325
81,96.1229508196721,296
82,97.6885245901639,307
83,99.25409836065569,312
84,100.81967213114751,336
85,102.38524590163931,322
86,103.9508196721311,302
87,105.5163934426229,343
88,107.08196721311472,306
89,108.64754098360652,317
90,110.21311475409831,300
91,111.77868852459014,342
92,113.34426229508193,304
93,114.90983606557373,320
94,116.47540983606552,304
95,118.04098360655735,317
96,119.60655737704914,364
97,121.17213114754094,322
98,122.73770491803276,341
99,124.30327868852456,356
100,125.86885245901635,325
101,127.43442622950815,300
102,128.99999999999997,367
103,130.56557377049177,312
104,132.13114754098356,345
105,133.6967213114754,386
106,135.26229508196718,314
107,136.82786885245898,337
108,138.39344262295077,336
109,139.9590163934426,321
110,141.5245901639344,340
111,143.0901639344262,392
112,144.655737704918,383
113,146.2213114754098,409
114,147.7868852459016,395
115,149.3524590163934,352
116,150.91803278688522,389
117,152.48360655737702,385
118,154.0491803278688,415
119,155.6147540983606,379
120,157.18032786885243,423
121,158.74590163934423,412
122,160.31147540983602,409
123,161.87704918032784,396
124,163.44262295081964,370
125,165.00819672131144,400
126,166.57377049180323,379
127,168.13934426229505,392
128,169.70491803278685,389
129,171.27049180327865,364
130,172.83606557377047,354
131,174.40163934426226,381
132,175.96721311475406,339
133,177.53278688524586,363
134,179.09836065573768,376
135,180.66393442622947,313
136,182.22950819672127,347
137,183.7950819672131,368
138,185.3606557377049,348
139,186.92622950819668,353
140,188.49180327868848,370
141,190.0573770491803,352
142,191.6229508196721,370
143,193.1885245901639,334
144,194.7540983606557,352
145,196.3196721311475,352
146,197.8852459016393,347
147,199.4508196721311,343
148,201.01639344262293,381
149,202.58196721311472,320
150,204.14754098360652,323
151,205.7131147540983,367
152,207.27868852459014,385
153,208.84426229508193,368
154,210.40983606557373,331
155,211.97540983606555,376
156,213.54098360655735,317
157,215.10655737704914,334
158,216.67213114754094,391
159,218.23770491803276,394
160,219.80327868852456,373
161,221.36885245901635,366
162,222.93442622950818,374
163,224.49999999999997,371
164,226.06557377049177,342
165,227.6311475409836,358
166,229.19672131147536,323
167,230.76229508196718,341
168,232.327868852459,341
169,233.89344262295077,347
170,235.4590163934426,360
171,237.02459016393442,330
172,238.5901639344262,334
173,240.155737704918,314
174,241.72131147540978,349
175,243.2868852459016,330
176,244.85245901639342,353
177,246.4180327868852,330
178,247.98360655737702,343
179,249.54918032786884,325
180,251.1147540983606,359
181,252.68032786885243,329
182,254.24590163934425,336
183,255.81147540983602,292
184,257.37704918032784,295
185,258.94262295081967,360
186,260.50819672131144,347
187,262.07377049180326,360
