centroid,centroid_err,gain,fine_gain,energy,energy_err
878, 1, 2, 1, 662, 1
45, 1, 2, 1, 32, 1
682, 1, 2, 1, 511, 1
80, 1, 2, 1, 59.54, 1
40, 1, 2, 1, 31, 1
110, 1, 2, 1, 81, 1
468, 1, 2, 1, 356, 1
163, 1, 2, 1, 122, 1
