centroid,centroid_err,gain,fine_gain,energy,energy_err
293,1,1,1.0,511.0,1
690,1,1,1.0,1275.0,1
73,1,2,2.04,31.0,1
197,1,2,2.04,81.0,1
809,1,2,2.04,356.0,1
627,1,1,1.0,1173.0,1
703,1,1,1.0,1332.0,1
94,1,1,2.49,59.54,1
122, 1, 1, 1, 366, 1
69, 1, 1, 1, 14.4, 1
43, 1, 1, 1, 6.4, 1
