frame,width,width_err
1132,227,2
1137,223,2
1142,212,2
1147,203,2
1152,194,2
1157,188,2
1162,172,2
1167,161,2
1172,149,2
1177,135,2
1182,117,2
1187,98,2
1192,80,2
1197,52,2
1199,47,2
1193,71,2
1196,57,2
1202,18,2
1203,3,1
