frame,width,width_err
1,87,5
3,84,5
5,80,5
7,77,5
9,72,5
11,69,5
13,61,5
15,58,5
17,55,5
19,56,5
21,49,5
23,43,5
25,40,5
27,34,5
29,29,5
30,28,5
31,21,5
32,17,5
33,10,5
