frame,width,width_err
50,93,6
51,88,6
52,85,6
53,85,6
54,80,6
55,80,6
56,76,6
57,72,6
58,71,6
59,68,6
60,66,6
61,65,6
62,61,6
63,60,6
64,55,6
65,51,6
66,50,6
67,47,6
68,43,6
69,40,6
70,34,6
71,34,6
72,27,6
73,24,6
74,19,6
75,14,6
76,10,6
77,6,6
