frame,width,width_err
1051,5.3,2
1050,6,2
1049,6.33,2
1048,8.67,2
1046,11.33,2
1043,11.67,4
1041,14,4
1039,16.33,4
1037,17,4
1035,18.67,4
1033,20,8
1031,22.33,8
1029,24.33,8
1027,29,8
1025,30.33,8
1023,31,8
1021,33,8
1019,34,8
